tfbh,year,name,name_en,is_current,start_time,end_time
202204,2022,°¬Àû,Aere,FALSE,2022-7-1 8:00,2022-7-5 8:00
202203,2022,åß°Å,Chaba,FALSE,2022-6-30 8:00,2022-7-4 5:00
202202,2022,öÓÓã,Megi,FALSE,2022-4-10 8:00,2022-4-12 17:00
202201,2022,ÂíÀÕ,Malakas,FALSE,2022-4-8 8:00,2022-4-15 17:00
